Search_Term,Video_URL,Video_Title,Channel_Name,Total_Subscribers,Total_Views,Total_Likes,Total_Dislikes,Total_Comments,Video_Description,Total_times_User_added_to_favorites,Video_Length,Video_Category,Video_Tags,Age_Restrictions,License,Captions_Available,search_term_video_url,domain
Stress management techniques,https://www.youtube.com/watch?v=i-pazYyLSWQ,3 Stress-Management Techniques for Front Line Workers,Johnson & Johnson,unknown,96678,1442,0,0,"In this video, Gahan Pandina, who is a Clinical Psychologist and Senior Director and Compound Development Team Leader at Janssen Research & Development, describes how stress can affect your thoughts, emotions, and physical body. He covers three techniques to help you learn more about how you experience stress and ways to manage it in the moment. Dr. Pandina reminds us that “Mindfulness is all about finding the techniques, or technique, that’s best for you.” Try different techniques and find the ones that you can incorporate throughout your day.  For another guided meditation and mindful tips, please visit https://bit.ly/36r7qFZ. #FirstRespondersFirst

Subscribe to JNJ on YouTube:  http://www.youtube.com/subscription_center?add_user=JNJHealth
J&J on Facebook: http://www.facebook.com/jnj
JNJ News on Twitter: https://twitter.com/jnjnews
J&J on LinkedIn: https://www.linkedin.com/company/johnson-&-johnson/
J&J’s Latest News: https://www.jnj.com/latest-news",0,00:14:33,Education,"['Johnson & Johnson', 'J&J', 'JandJ', 'Johnson and Johnson', 'JNJ', '$JNJ', '#JNJ', 'healthcare', 'health care', 'sustainability', 'giving', 'investors', 'charitable', 'global health', 'mental health', 'COVID-10', 'first responders', 'well-being', 'mental health help', 'mediation', 'frontline health workers']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=i-pazYyLSWQ,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=15GaKTP0gFE,Managing Stress: Good for Your Health,Veterans Health Administration,unknown,267930,3233,0,0,"Too much stress can have serious consequences—both for you and those around you. Luckily, VA provides a number effective ways to help Veterans better manage stress and stay healthy.",0,00:03:11,Education,"['Manage stress', 'Veteran', 'health']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=15GaKTP0gFE,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=rukcQcZ1NYE,How to Manage Stress | Nuffield Health,Nuffield Health,unknown,92244,1525,0,37,"What does it really mean when we talk about stress? Clinical Physiologist Lead, Marcus Herbert, explains what's going on inside your body and your brain when stress strikes.

To read the full story, visit: http://bit.ly/2fddHLq

SUBSCRIBE ► http://bit.ly/1IEjpJz",0,00:05:22,Nonprofits & Activism,"['Stress Management', 'nuffield health', 'stress management', 'how to deal with stress', 'how to manage stress', 'stress physiology', 'stress effect on the body', 'how to cope with stress', 'autonomic nervous system', 'parasympathetic nervous system', 'sympathetic nervous system', 'marcus herbert']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=rukcQcZ1NYE,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=pD2LtJ7ITTg,10 Stress Management Techniques,UtahValleyHospital,unknown,9586,104,0,2,"Stress is a part of life. It often comes from all directions and can be overwhelming at times.   You can’t run from it but you can learn how to manage it. Here's 10 techniques to manage your stress and improve your quality of life and heart health.

Take control of your stress and change your heart health!
Enter to participate in the play-at-home version 100-Day Heart Challenge. 

Choose a challenge and work to meet it over the next 100 days. Participate for a chance to win weekly prizes. 

For more information about the play-at-home version of the 100 Day Heart Challenge, visit http://utahcountycommunityresources.org/apps/100dhc/?loc=uvrmc

For more helpful videos to improve your health, subscribe to our YouTube channel.",0,00:01:46,Science & Technology,"['Stress Management (Field Of Study)', 'Health (Industry)', 'Stress (Quotation Subject)', 'Fitness (Media Genre)', 'Physical Exercise (Interest)', 'Diet (Industry)', 'Healthy Diet (Diet)', 'Relaxation Technique (Medical Treatment)', 'Intermountain Healthcare (Organization)', '100 Day Heart Challenge', 'Reduce Stress', 'Dieting (Symptom)', 'Nutrition (Medical Specialty)']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=pD2LtJ7ITTg,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=Wh5HyJ1rxzk,Tips for Managing Stress,"Mind, the mental health charity",unknown,91701,1242,0,0,"University can be a difficult time, presenting a number of new and unique challenges you may not have faced before. We know that it's a very worrying and uncertain time for everybody, and that you might be feeling anxious about what's happening. We are here to support you. 
 
This animation is one of a series of videos to support students with their mental health, produced by Mind’s Mentally Healthy Universities Programme, supported by Goldman Sachs Gives. It focuses on managing stress. Have a look at these tips and ideas. Don’t worry if some ideas don’t work for you – just enjoy the ones that do.
 
For more information on student mental health, take a look at our Student Mental Health Hub: www.mind.org.uk/students

More animations are to come, and will be available at: www.mind.org.uk/studentvideos",0,00:02:57,Nonprofits & Activism,"['stress', 'stressed', 'student', 'uni', 'university', 'mental health', 'tips', 'advice', 'Goldman Sachs', 'Mind']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=Wh5HyJ1rxzk,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=0fL-pn80s-c,Stress Management Strategies: Ways to Unwind,watchwellcast,985000,2083661,16598,0,1252,"Wellcasters relax! Too much stress in your life causes headaches, high blood pressure, tummy aches, memory loss and all other kinds of nasty stuff. But, how can you tell if you are showing stress symptoms? Check out our video for advice on how to tell when you're stressed out and simple tips to relieve tension quickly. From little things you can do everyday to promote relaxation to strategies to cool off when you're in the heat of the moment, we've got advice on the best ways to sit back and relax!

Check out some other awesome episodes of WellCast:

1. Inside Puberty http://www.youtube.com/watch?v=Rsj6dW...
2. Coping With Grief http://goo.gl/aD4OH 
3. Ways to Stop Bullying http://goo.gl/WOzSy 
4. Dealing With Rejection http://goo.gl/f3Pw5 
5. Party Survival Guide for Introverts http://goo.gl/WYZVe 

Want a packaged deal? Check out our playlists!

1. Top 10 Most Popular WellCast Videos http://goo.gl/nDrJC
2. For Our Introvert Friends http://goo.gl/CeYbO
3. Tips for your Social Life http://goo.gl/ZKkrS
4. Our Relationship and Dating Advice http://goo.gl/ODZZf
5. Study Tips for School! http://goo.gl/0hRQ8

ABOUT WELLCAST:

In this twice-a-week show, we explore the physical, mental and emotional paths to wellness. With an emphasis on education, the show addresses both the latest trends and long-standing practices of wellness—everything from the efficacy of the gratitude experiment to the importance of sunshine and vitamin D. Follow along as your host, Kate, guides you through a bi-weekly journaling exercises that helps you apply what you've learned. The ultimate goal: one year, one show, one journal, one collective journey to wellness.

Sign up for our WellCast newsletter for more of the love, lolz and happy! http://goo.gl/GTLhb

Like us on Facebook! http://goo.gl/0DHVJ
Follow us on Twitter! http://goo.gl/Ylcv6
Find us on Google+ http://goo.gl/ylCVT
Follow us on Tumblr! http://goo.gl/Ds3TB
Follow us on Instagram! http://goo.gl/q3IUC
Follow us on Pinterest! http://goo.gl/lNhu2",0,00:05:06,Education,"['stress relief', 'stress', 'management', 'stress management techniques', 'techniques', ""I'm super stressed out"", 'help! I\\m stressed', 'breathing exercises', 'stress relief tips', 'tips']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=0fL-pn80s-c,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=grfXR6FAsI8,3-Minute Stress Management: Reduce Stress With This Short Activity,Therapy in a Nutshell,unknown,127004,4019,0,177,"Stress is the aspect of anxiety that we feel in our body. Worry is about thoughts, but stress is how our muscles get tense, our breathing gets tight, we feel achy, and our hands sweat. Stress is the physiological response to perceived danger. The good news is you can train your mind and body to be calm by doing simple activities throughout the day.

Thanks to BetterHelp for sponsoring the video: https://betterhelp.com/therapyinanutshell  

Sign up for my newsletter: www.therapynutshell.com

Learn more in one of my in-depth mental health courses: https://courses.therapyinanutshell.com/?utm_campaign=09032020&utm_medium=Description&utm_source=YouTube

Check out my favorite books for mental health:
https://kit.co/TherapyinaNutshell/best-self-help-books

Music licensed from www.Bensound.com or Artlist.io
Images from Freepik.com (premium license), Pixabay, or Wikimedia commons

Therapy in a Nutshell, LLC, and the information provided by Emma McAdam are solely intended for informational and entertainment purposes and are not a substitute for advice, diagnosis, or treatment regarding medical or mental health conditions. Although Emma McAdam is a licensed marriage and family therapist, the views expressed on this site or any related content should not be taken for medical or psychiatric advice. Always consult your physician before making any decisions related to your physical or mental health.

About Me:
I’m Emma McAdam. I’m a licensed Marriage and Family Therapist, and I have worked in various settings of change and growth since 2004. My experience includes juvenile corrections, adventure therapy programs, wilderness therapy programs, an eating disorder treatment center, a residential treatment center, and I currently work in an outpatient therapy clinic.  

In therapy I use a combination of Acceptance and Commitment Therapy, Systems Theory, positive psychology, and a bio-psycho-social approach to treating mental illness and other challenges we all face in life. The ideas from my videos are frequently adapted from multiple sources. Many of them come from Acceptance and Commitment Therapy, especially the work of Steven Hayes, Jason Luoma, and Russ Harris. The sections on stress and the mind-body connection derive from the work of Stephen Porges (the Polyvagal theory), Peter Levine (Somatic Experiencing) Francine Shapiro (EMDR), and Bessel Van Der Kolk. I also rely heavily on the work of the Arbinger institute for my overall understanding of our ability to choose our life's direction. 
And deeper than all of that, the Gospel of Jesus Christ orients my personal worldview and sense of security, peace, hope, and love https://www.churchofjesuschrist.org/comeuntochrist/believe

If you are in crisis, please contact the National Suicide Prevention Hotline at https://suicidepreventionlifeline.org/ or 1-800-273-TALK (8255) or your local emergency services.
Copyright Therapy in a Nutshell, LLC
----
Music licensed from www.Bensound.com or Artlist.io
Images from Freepik.com (premium license), Pixabay, or Wikimedia commons",0,00:03:45,Education,"['therapy in a nutshell', 'stress management', 'stress management techniques', 'how to reduce stress', 'stress relief the office']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=grfXR6FAsI8,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=eGVWRvNe1-A,Stress Relief Tips - 7 Ways on How to Lower Stress | Anthem,Anthem Blue Cross Blue Shield,unknown,318508,4966,0,216,"""Are you constantly feeling stressed out?  Believe it or not, stress can negatively affect the health of our minds and bodies. The seven tips for reducing stress in this video introduce simple, easy ways to zap the stress and introduce more zen in your life. It's amazing how much better you'll feel once you take time to take care of you. 

Find other Preventative Health Tips from Anthem: https://www.youtube.com/playlist?list=PL6KJL1NPqlEmZKkhxUDsIBaAp1GPEdtR4 

Subcribe to more videos and playlists from Anthem: https://www.youtube.com/c/AskAnthem 

Visit our website: Anthem.com",0,00:01:47,People & Blogs,[],NA,creativeCommon,NA,Stress management techniques_https://www.youtube.com/watch?v=eGVWRvNe1-A,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=Nz9eAaXRzGg,How to protect your brain from stress | Niki Korteweg | TEDxAmsterdamWomen,TEDx Talks,unknown,1624446,24625,0,451,"NOTE FROM TED: Please do not look to this talk for medical advice. While some viewers might find advice provided in this talk to be helpful as a complementary approach, several claims around brain size and lifestyle are not corroborated by sufficient scientific evidence. TEDx events are independently organized by volunteers. The guidelines we give organizers are described in more detail here: http://storage.ted.com/tedx/manuals/tedx_content_guidelines.pdf


Chronic stress is devastating for your brain. It ruins your memory, your attention and concentration and your emotional resilience. The brain areas that help execute these functions literally deteriorate. 

Luckily, brain science has revealed many ways to prevent or counteract this. In her talk Niki Korteweg shares the four most important things you can do to keep your brain healthy and working at its very best.

Niki Korteweg is a Dutch science journalist with a PhD in neurobiology, and she has been writing about health and brain science for almost 20 years. Ironically, after experiencing a burnout about 10 years ago, her own brain started to let her down. It was the start of a quest in the scientific literature to discover what actually helps to guard our brain against stress and make it work better than ever.  As a science journalist at NRC Handelsblad with a PhD in neurobiology, Niki is very knowledgeable about brain research, medical science, and psychology. She is a versatile journalist: she writes features, interviews, news articles, and books, gives lectures and teaches about science writing. After experiencing burnout in 2010, Niki published the book ‘Een beter brein’ (A better brain) in 2017. In this book, she discusses the fast-moving developments in neuroscience and all the ways in which we can use those insights to take good care of our brains. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",0,00:09:25,Nonprofits & Activism,"['TEDxTalks', 'English', 'Health', 'Brain', 'Mental health', 'Science', 'Women']",NA,youtube,NA,Stress management techniques_https://www.youtube.com/watch?v=Nz9eAaXRzGg,Emotional exhaustion
Stress management techniques,https://www.youtube.com/watch?v=o18I23HCQtE,6 Daily Habits to Reduce Stress & Anxiety,Psych2Go,unknown,702250,33152,0,1363,"At times, we can feel stress and anxiety reach new levels. You may have felt overwhelmingly stressed that you wouldn’t turn in an assignment on time, or you may have felt an abrupt feeling of anxiety wash over you as you walked over to a class podium for a presentation. Or perhaps your stress and anxiety seem constant and unrelenting. It may be difficult to do seemingly simple tasks all because you’re too overwhelmed by your anxious thoughts and stressful to-do list. Well, to help relieve some of your stress and anxiety, here are some daily habits that can reduce stress and anxiety.

If you want more tips on how to change your life for the better, watch our video on the small things you can do to change your life forever: https://youtu.be/-fgbQsVtsfo 

Writer: Michal Mitchell 
Script Editor & Manager: Kelly Soong 
VO: Amanda Silvera 
Animator: Kinopio (new animator)
YouTube Manager: Cindy Cheong 

References: 
https://pastebin.com/MkeVse3k

Join this channel to get access to perks:
https://www.youtube.com/channel/UCkJEpR7JmS36tajD34Gp4VA/join

Would you like to animate for the team? Check out this: https://psych2go.net/interested-in-animating-for-pych2go-faq/

Interested in writing for psych2go? Check out: 
https://psych2go.net/script-writing-position-faqs/

We're also on a mission to make mental health accessible around the world. Many of our content are translated to other languages by fans and people like you guys :) 

1) Psych2Go Kr - https://www.youtube.com/channel/UCQh9DSw0L23tNULgxussrYg 
심리툰 Psych2Go Korea https://www.youtube.com/channel/UCNTGv5tBhqxIN3jAHbhumeQ
2) Vietnamese - https://www.youtube.com/channel/UCe-DaRWfYRVfcdasozr874A
3) German - https://www.youtube.com/c/Psych2GoDE/videos
4) Indonesian - https://www.youtube.com/channel/UCwc1rtdEJDr-VKQT5bijwwQ
5) Russian - youtube.com/channel/UC4vMpG7hqxT0GCx2YAIF7rA/
6) Vietnamese - https://www.youtube.com/channel/UCe-DaRWfYRVfcdasozr874A
7) Español - https://www.youtube.com/channel/UCl5OsVzh4_Xf8fSmxhOMP5Q
8) Hindi - https://www.youtube.com/channel/UCcesO-EWK1l6dF2QgB9aUkw",0,00:06:24,Education,"['how to reduce stress', 'how to reduce anxiety', 'stress', 'anxiety', 'stress and anxiety', 'habits to reduce stress', 'habits to reduce anxiety', 'mental health', 'good habits', 'dealing with stress', 'how to manage stress', 'deal with stress', 'how to manage anxiety', 'deal with anxiety', 'dealing with anxiety', 'psych2go', 'psych2go stress', 'psych2go anxiety', 'psych 2 go', 'psychtogo', 'psych to go']",NA,creativeCommon,NA,Stress management techniques_https://www.youtube.com/watch?v=o18I23HCQtE,Emotional exhaustion
