Search_Term,Video_URL,Video_Title,Channel_Name,Total_Subscribers,Total_Views,Total_Likes,Total_Dislikes,Total_Comments,Video_Description,Total_times_User_added_to_favorites,Video_Length,Video_Category,Video_Tags,Age_Restrictions,License,Captions_Available,search_term_video_url,domain,Relevant,Owner,Comments
Building career fulfillment,https://www.youtube.com/watch?v=MKlx1DLa9EA,"To find work you love, don't follow your passion | Benjamin Todd | TEDxYouth@Tallinn",TEDx Talks,unknown,6126878,148860,0,5942,"Mainstream career advice tells us to “follow our passion”, but this advice is dead wrong. Research shows that people who take this approach are ultimately no more likely to enjoy or excel at their jobs. Instead, if you’re looking for a fulfilling career, here’s a new slogan to live by: Do what’s valuable.


Benjamin Todd is the co-founder and Executive Director of 80,000 Hours, an Oxford-based charity dedicated to helping people find fulfilling careers that make a real difference. In three years, 80,000 Hours has grown from a student society to a thriving charity featured on the BBC, the Washington Post, NPR and more, and whose online careers guide has been viewed by hundreds of thousands of people.
Benjamin Todd on heategevusorganisatsiooni 80 000 Hours kaasasutaja, nende eesmärk on aidata inimesi, kes tahavad suurendada oma karjääri positiivset mõju maailmale. Ben on juhtinud 80 000 Hoursi kasvu kolme aasta jooksul tudengiorganisatsioonist Oxfordi heategevusorganisatsiooniks, mida on mainitud nii BBC, Washington Post ja NPR jt.meediaväljaannetes. Ben on õppinud Oxfordis füüsikat ja filosoofiat, avaldanud kirjutisi kliimafüüsika teemal ja räägib hiina keelt.

This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",0,0:15:05,Nonprofits & Activism,"['ted x', 'tedx', 'Career', 'ted talks', 'ted talk', 'TEDxTalks', 'Success', 'tedx talks', 'Education', 'Life', 'ted', 'Personal growth', 'Impact', 'English', 'Estonia', 'tedx talk']",,youtube,,Building career fulfillment_https://www.youtube.com/watch?v=MKlx1DLa9EA,Personal achievement,Yes,Akash,
Building career fulfillment,https://www.youtube.com/watch?v=fsxBZKn8AsE,"I quit my job & found FULFILLMENT // 4 Careers at 30 - Interior Design, Software Developer, Youtube",Caroline Winkler,unknown,311286,19694,0,1574,"At 30 years old, I've had 4 careers. This is how I became a software developer with no experience, how i became an interior designer with no experience, and how i started on youtube. I quit ""my dream job"" as an actor and have been so much happier since. If you have ever wondered ""Should i quit my job"", ""Is it worth a paycut"" or ""What will people say about me""...I have lots of thoughts to share with you.

I wanted to make this video because I find myself having this conversation with so many friends, family members and even strangers -- The Great Resignation is among us. Something is in the air, and if you are miserable in your work or in your life...there is another way. 

Change is hard. But slowly and imperceptibly, things do change. And they can change for the better. 

I think I'll be doing videos in the future going into greater depth on how I got into each of these individual careers. So leave any questions you have in the comments and I'll cover more in a future video!

Thanks for indulging 40 straight minutes of me yelling. 
Lots of love,
🧡
Caroline

***

STUFF

Dress (sold out in black): https://go.magik.ly/ml/1g1t5/

Earrings: https://go.magik.ly/ml/1g1s1/


***

[contact: business inquiries only]
carolinewinkler@thesociablesociety.com

I'm sorry I'm not able to take on any new design clients at the moment! But I will definitely be sharing whenever my schedule opens up! 

[about me] 
name: caroline (angelica)
instagram: @thegoodsitter
location: washington dc


***


Contents of this Video

00:00 - Intro
01:07 - Money vs. Happiness
03:17 - Timeline of my Jobs
05:02 - The Key to loving your life
08:48 - How to know it's time to QUIT
11:14 - Dealing with Haters
12:32 - How to Explore Other Careers
13:30 - How I became a Software Developer with no experience
15:02 - Should you go back to school?
18:50 - How I became an Interior Designer with no experience
24:14 - Overcoming Shame
25:19 - the ""F*@K IT"" moment
27:53 - Is it worth a Paycut?
29:48 - How to NOT GIVE A F*@K
31:20 - Hitting Rock Bottom
32:57 - Work Life balance
34:58 - How to negotiate work hours
36:30 - How to support others
37:50 - Living to Work vs Working to Live
39:33 - The Bottom Line

#howtobehappy #worklifebalance #interiordesign #softwareengineer  #careermode 







***

All opinions are my own. Some links listed are affiliate links which means I earn a small commission if anyone decides to purchase through them. Thank you so much for your support!

Please note that I am not a professional, in fact I am the literal opposite. I am just a plebeian out here loose on the streets. Things that I am NOT: a builder, trainer, craftsman, therapist, nutritionist, physical therapist, medical professional or anything else. All projects seen on my channel must be completed at your own risk and responsibility. Please see your own professional or counselor for professional support. Do your research and be safe!",0,0:41:20,People & Blogs,"['how to change careers', 'how to switch careers', 'how to quit your job', 'should i quit my job', 'how to get a job as a software engineer', 'how to become a software engineer', 'how to become an interior designer', 'how i started on youtube', 'caroline winkler', 'angelica winkler']",,youtube,,Building career fulfillment_https://www.youtube.com/watch?v=fsxBZKn8AsE,Personal achievement,Yes,Akash,
Building career fulfillment,https://www.youtube.com/watch?v=a7gFkUqIv1E,What they don't teach you about career fulfillment in school | Ryan Clements | TEDxKelowna,TEDx Talks,unknown,292763,4873,0,123,"This talk was given at a local TEDx event, produced independently of the TED Conferences. What is missing in our curriculum these days? Isn't there more to creating a life, than finding a job?

Ryan’s passion is empowering others to find fulfilling work, and living their “inner greatness”. He is the author of the book Unsuited: How We Can Reject Conventional Career Advice And Find Empowerment, and in addition to his diverse entrepreneurial pursuits, Ryan also consults to an international company that builds customized educational and training solutions for a variety of organizations, across a wide range of industries. He has also worked, in a consulting and business coaching capacity, with a number of start-ups, and continues to serve as mentor to them.

About TEDx, x = independently organized event In the spirit of ideas worth spreading, TEDx is a program of local, self-organized events that bring people together to share a TED-like experience. At a TEDx event, TEDTalks video and live speakers combine to spark deep discussion and connection in a small group. These local, self-organized events are branded TEDx, where x = independently organized TED event. The TED Conference provides general guidance for the TEDx program, but individual TEDx events are self-organized.* (*Subject to certain rules and regulations)",0,0:16:33,Nonprofits & Activism,"['ted x', 'English', 'Life', 'Psychology', 'tedx talks', 'Canada', 'ted talks', 'Lifestyle', 'Career/Life Development', 'ted', 'TEDxTalks', 'tedx', 'ted talk', 'tedx talk']",,youtube,,Building career fulfillment_https://www.youtube.com/watch?v=a7gFkUqIv1E,Personal achievement,Yes,Akash,
Building career fulfillment,https://www.youtube.com/watch?v=rvqvLF5UpRk,Find Fulfillment - Find your WHY,Simon Sinek,unknown,156298,1803,0,37,"Having a job we love is a right, not a privilege. It's not for the chosen few. It is my hope that saying ""I love my job"" becomes the standard and not the exception. 

Our WHY can serve as a lighthouse that guides us toward fulfillment in our lives and in our careers. Learn more at https://startwithwhy.com/find-your-why/.",0,0:03:18,People & Blogs,"['why', 'start with why', 'purpose', 'passion', 'self discovery', 'simon sinek', 'fulfillment', 'career', 'inspiration', 'personal development', 'professional development', 'motivation', 'leadership', 'find your whty', 'job']",,youtube,,Building career fulfillment_https://www.youtube.com/watch?v=rvqvLF5UpRk,Personal achievement,Yes,Akash,
Building career fulfillment,https://www.youtube.com/watch?v=0DJlWBQdbIA,How to Find Fulfillment at Work,Big Think,unknown,84417,606,0,28,"New videos DAILY: https://bigth.ink/youtube
Join Big Think Edge for exclusive videos: https://bigth.ink/Edge
---------------------------------------------------------------------------------- 

---------------------------------------------------------------------------------- 
ABOUT BIG THINK:

Smarter Faster™
Big Think is the leading source of expert-driven, actionable, educational content -- with thousands of videos, featuring experts ranging from Bill Clinton to Bill Nye, we help you get smarter, faster. S​ubscribe to learn from top minds like these daily. Get actionable lessons from the world’s greatest thinkers & doers. Our experts are either disrupting or leading their respective fields. ​We aim to help you explore the big ideas and core skills that define knowledge in the 21st century, so you can apply them to the questions and challenges in your own life.

Other Frequent contributors include Michio Kaku & Neil DeGrasse Tyson.

Michio Kaku Playlist: https://bigth.ink/kaku
Bill Nye Playlist: https://bigth.ink/BillNye
Neil DeGrasse Tyson Playlist: https://bigth.ink/deGrasseTyson

Read more at Bigthink.com for a multitude of articles just as informative and satisfying as our videos. New articles posted daily on a range of intellectual topics.

Join Big Think Edge, to gain access to a world-class learning platform focused on building the soft skills essential to 21st century success. It features insight from many of the most celebrated and intelligent individuals in the world today. Topics on the platform are focused on: emotional intelligence, digital fluency, health and wellness, critical thinking, creativity, communication, career development, lifelong learning, management, problem solving & self-motivation.

BIG THINK EDGE: https://bigth.ink/Edge

If you're interested in licensing this or any other Big Think clip for commercial or private use, contact our licensing partner, Executive Interviews: https://bigth.ink/licensing
----------------------------------------------------------------------------------
Follow Big Think here:

📰BigThink.com: https://bigth.ink
🧔Facebook: https://bigth.ink/facebook
🐦Twitter: https://bigth.ink/twitter
📸Instagram: https://bigth.ink/Instragram
📹YouTube: https://bigth.ink/youtube
✉ E-mail: info@bigthink.com 
 ----------------------------------------------------------------------------------",0,0:01:35,Science & Technology,"['bigthink', 'aol', '5min', 'Big Think', 'BigThink', 'BigThink.com']",,youtube,,Building career fulfillment_https://www.youtube.com/watch?v=0DJlWBQdbIA,Personal achievement,Yes,Akash,
Building career fulfillment,https://www.youtube.com/watch?v=su2V2lzqbb8,Highly Sensitive Person Careers -- The REAL SECRET to Career Fulfillment,Odyssey Human,unknown,15167,774,0,159,"HIGHLY SENSITIVE PERSON CAREERS -- THE REAL SECRET TO CAREER FULFILLMENT

Finding the right career as a HSP can be exhausting. No wonder it's one of the biggest struggles for Highly Sensitive People!! Here's the question you should be asking yourself about finding the right type of work...and it's NOT about the JOB, it's about CONSCIOUSNESS!

Get the FREE PDF version of Flow by Mihaly Csikszentmihalyi here:
https://epdf.pub/flow-the-psychology-of-optimal-experiencea0662f502e37985b85352bda22a559af23448.html

🚩CHANGE YOUR MIND, CHANGE YOUR LIFE MASTERCLASS (60% off SALE NOW!!!). 9-week guided journey to unprogram all the things holding you back so you can move forward quickly and fearlessly toward your goals.  👉 https://bit.ly/3uYnxFZ

🔥 Unlock your FREE training video series on how to transcend your sensitivity. Includes my best tool for emotional regulation! 👉 https://bit.ly/3LJEZVB
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

🚨About:  This video is designed to reframe the question of, ""What career is right for me?"" to ""What's the correct state of consciousness I should experience to find real career satisfaction?"" 

If this video helped you, let me know in the comments :)

Subscribe to this channel to learn all about how to extinguish your emotional fires, reprogram your body & mind, and take control of your life. I post new videos every week!

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Say hi on social:
Facebook: https://www.facebook.com/emotionalfireacademy

//emotional fire academy, highly sensitive person careers, highly sensitive person career, highly sensitive person career fulfillment, hsp careers, hsp career satisfaction, hsp career fulfillment, highly sensitive person career satisfaction, job satisfaction hsp, job satisfaction highly sensitive person, best job for hsp, best job for highly sensitive person, good career for hsp, good career for highly sensitive person, career i love hsp, career i love highly sensitive person, best work for hsp, best work for highly sensitive person, best career for hsp, best career for highly sensitive person //",0,0:13:55,People & Blogs,"['highly sensitive person careers', 'hsp careers', 'highly sensitive person career', 'hsp career', 'best job hsp', 'best job for highly sensitive person', 'good career for hsp', 'good career for highly sensitive person', 'best work for hsp', 'best work for highly sensitive person', 'career satisfaction hsp', 'career satisfaction highly sensitive person', 'job fulfillment hsp', 'job fulfillment highly sensitive person', 'career i love hsp', 'career i love highly sensitive person', 'emotional fire academy']",,youtube,,Building career fulfillment_https://www.youtube.com/watch?v=su2V2lzqbb8,Personal achievement,Yes,Akash,
Building emotional resilience,https://www.youtube.com/watch?v=TFbv757kup4,The Secret of Becoming Mentally Strong | Amy Morin | TEDxOcala,TEDx Talks,unknown,22775783,551331,0,10262,"Everyone has the ability to build mental strength, but most people don't know how. 
We spend a lot of time talking about physical strength and physical health, but much less time on mental strength and mental health. 
We can choose to perform exercises that will help us learn to regulate our thoughts, manage our emotions, and behave productively despite our circumstances - the 3 basic factors of mental strength. No matter what your goals are, building mental strength is the key to reaching your greatest potential.

Amy Morin is a licensed clinical social worker and psychotherapist. Since 2002, she has been counseling children, teens, and adults. She also works as an adjunct psychology instructor.
 
Amy’s expertise in mental strength has attracted international attention. Her bestselling book, 13 Things Mentally Strong People Don’t Do, is being translated into more than 20 languages.
 
Amy’s advice has been featured by a number of media outlets, including: Time, Fast Company, Good Housekeeping, Business Insider, Elle, Cosmopolitan, Success, Glamour, Oprah.com, TheBlaze TV, and Fox News. She has also been a guest on dozens of radio shows.
 
She is a regular contributor to Forbes, Inc., and Psychology Today. She serves as About.com’s Parenting Teens Expert and Discipline Expert.
 
As a frequent keynote speaker, Amy loves to share the latest research on resilience and the best strategies for overcoming adversity and building mental muscle.


This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",0,0:15:02,Nonprofits & Activism,"['TEDxTalks', 'English', 'United States', 'Social Science', 'Behavior', 'Brain', 'Cognitive science', 'Control', 'Emotions', 'Mental health', 'Self improvement', 'Self-help']",,youtube,,Building emotional resilience_https://www.youtube.com/watch?v=TFbv757kup4,Emotional exhaustion,Yes,Akash,
Building emotional resilience,https://www.youtube.com/watch?v=NWH8N-BvhAw,The three secrets of resilient people | Lucy Hone | TEDxChristchurch,TEDx Talks,unknown,1866037,38915,0,985,"Dr Lucy Hone is a resilience expert who thought she found her calling supporting people to recover following the Christchurch earthquake. She had no idea that her personal journey was about to take her to a far darker place. In this powerful and courageous talk, she shares the three strategies that got her through an unimaginable tragedy⁠—and offers a profound insight on human suffering. Dr Lucy Hone is a director of the New Zealand Institute of Wellbeing & Resilience, a research associate at AUT University, a published academic researcher, best-selling author and contributor to Psychology Today, the Sunday Star Times and Next magazine. 

She trained at the University of Pennsylvania and got her PhD in public health at AUT University in Auckland. She has helped a range of organisations—from primary schools to leading law firms—to design and implement wellbeing initiatives creating sustained and meaningful change. 

Five years ago, the sudden death of Lucy’s 12-year-old daughter Abi forced Lucy to turn her academic training and professional practice to foster resilience in very personal circumstances. The blog she wrote in the aftermath of Abi’s death attracted international attention and resulted in the best-selling non-fiction title, What Abi Taught Us, Strategies for Resilient Grieving (Allen & Unwin, 2016), now available as Resilient Grieving in the US, UK and NZ. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",0,0:16:21,Nonprofits & Activism,"['TEDxTalks', 'English', 'Social Science', 'Happiness', 'Hardship', 'Life', 'Mental health', 'Psychology', 'Tragedy']",,youtube,,Building emotional resilience_https://www.youtube.com/watch?v=NWH8N-BvhAw,Emotional exhaustion,Yes,Akash,
Building emotional resilience,https://www.youtube.com/watch?v=fPMqMJMiBiA,Building Resilience: 5 Ways to a Better Life,PragerU,unknown,1689694,22799,0,837,"In case you hadn’t noticed, life is difficult and unpredictable. So, how do you move forward in such a complex and confusing world? UCLA Medical School psychiatrist Dr. Stephen Marmer offers 5 tips for coping with life’s unwelcome surprises.
Donate today to PragerU! http://l.prageru.com/2eB2p0h

Get PragerU bonus content for free! https://www.prageru.com/bonus-content

Download Pragerpedia on your iPhone or Android! Thousands of sources and facts at your fingertips.

iPhone: http://l.prageru.com/2dlsnbG
Android: http://l.prageru.com/2dlsS5e

Join Prager United to get new swag every quarter, exclusive early access to our videos, and an annual TownHall phone call with Dennis Prager! http://l.prageru.com/2c9n6ys

Join PragerU's text list to have these videos, free merchandise giveaways and breaking announcements sent directly to your phone! https://optin.mobiniti.com/prageru

Do you shop on Amazon? Click https://smile.amazon.com and a percentage of every Amazon purchase will be donated to PragerU. Same great products. Same low price. Shopping made meaningful.

VISIT PragerU! https://www.prageru.com

FOLLOW us!
Facebook: https://www.facebook.com/prageru
Twitter: https://twitter.com/prageru
Instagram: https://instagram.com/prageru/
PragerU is on Snapchat!

JOIN PragerFORCE!

For Students: http://l.prageru.com/2aozfkP
JOIN our Educators Network! http://l.prageru.com/2aoz2y9

Script:

In case you hadn’t noticed, life is difficult, complex and unpredictable. You can’t change this. It’s the nature of things. But you can prepare yourself for the next unwelcome surprise. 

How? By building resilience.

Resilience is the ability to bounce back from life’s inevitable disappointments, failures, and pains.

Let me use an analogy here. 

If cars didn’t have shock absorbers, every ride would be a miserable experience. The ride through life without shock absorbers – that is, resilience – would be the same. So, without building resilience – your own internal shock absorbers – it’s not possible to lead a happy and productive life. 

Resilience is the opposite of fragility. To be fragile means that just about everything upsets you. And if just about everything upsets you, you will spend a lot of time angry and hurt. And if you spend a lot of time angry and hurt, you will not be a happy person.
 
Here, I’m not focusing on severe illness, the death of a loved one or any crushing life-changing event. In such cases, people usually need help to recover. But for most of us, such situations are rare – while the slights and disappointments of ordinary life are not. And for those, we need resilience.
 
OK, then. How do you develop resilience? Here are some suggestions to get you started, drawn from my forty-plus years as a psychiatrist. 

First, get some perspective. 

Step back and assess your situation with as much objectivity as you can. “How bad is this problem?” “Have I overstated it?” 

Sometimes my patients think an unhappy occurrence is much more serious than it really is – usually because it’s amplified by evoking a painful childhood issue. Often getting perspective is as simple as asking yourself this question: “What’s the worst thing that can happen?” Usually you’ll discover the worst thing isn’t that bad – and isn’t even likely to happen. 

Second, compare the undeserved bad things that have happened to you with the unearned good things that have happened to you. 

When I ask my patients to do this, they invariably conclude that the unearned good in their life far outweighs the undeserved bad. I’d say the ratio is at least 10 to 1. In my own case, I didn’t earn the incredibly good fortune of my grandparents moving to America, or that life-saving penicillin was available to me in my childhood when I was sick. I could go on and on. And so could you. 

In light of this, maybe things aren’t so bad after all. In fact, they’re probably pretty good. 

Third, toughen up. 

Life hits you from all directions – health, personal relationships, work challenges, family issues. To deal with them, you need to build up your mental toughness. The earlier in life one starts this process, the better. 

That’s why parents who coddle their children and protect them from every hurt and failure are not doing them any favors. Nor are colleges that provide students with so-called “safe spaces.” To toughen up, you need to push yourself. How do you know what you’re capable of if you don’t do that? 

For the complete script, visit https://www.prageru.com/videos/building-resilience-5-ways-better-life",0,0:05:26,Education,"['PragerU', 'Prager University', 'Dennis Prager', 'Stephen Marmer', 'Resilience', 'Building Resilience', 'Trauma', 'Pain', 'Fragility', 'Fragile', 'Resilient', 'Psychology']",,youtube,,Building emotional resilience_https://www.youtube.com/watch?v=fPMqMJMiBiA,Emotional exhaustion,Yes,Akash,
Building emotional resilience,https://www.youtube.com/watch?v=3qELiw_1Ddg,What Trauma Taught Me About Resilience | Charles Hunt | TEDxCharlotte,TEDx Talks,unknown,788944,13222,0,731,"That resilience is one of the most important traits to have, is critical to their happiness and success, & can be learned.

Adept at leveraging transparency to inspire and get results, this former College Recruiting, Talent Management, Diversity, and Supply Chain leader left the corporate world to fulfill his vision of building unbreakable spirits and cultivating resiliency for those who, like him, have The Audacity to Succeed. He helps students & young professionals build resilience, believe in bigger and greater for themselves, and create the educational, financial, and professional plans to get there.

As the founder of The Audacity Firm, LLC, his firm provides professional & personal development programs, coaching, and events to equip clients with financial literacy/education, workforce readiness, professional development, and career planning tips, tools, and strategies to LIVE, DO, and BE BETTER. 



This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at http://ted.com/tedx",0,0:14:22,Nonprofits & Activism,"['TEDxTalks', 'English', 'United States', 'Life', 'Achievement', 'Behavior', 'Body language', 'Career', 'Consciousness', 'Drugs', 'Empathy', 'Goal-setting', 'Grit', 'Health', 'Life Hack', 'Mental health', 'Mindfulness', 'Purpose', 'Self-help']",,youtube,,Building emotional resilience_https://www.youtube.com/watch?v=3qELiw_1Ddg,Emotional exhaustion,Yes,Akash,
